alpha3code,image_timestamp,avg_ssm_mm,avg_susm_mm,month,year,platform,country,country_clean,alpha2code,numeric,continet_code,area_km2
BLZ,2017-02-20 12:00:00+00:00,6.884398460388184,48.80734634399414,2,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-02-23 12:00:00+00:00,5.873807907104492,43.11824417114258,2,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-02-26 12:00:00+00:00,5.355011463165283,37.96811294555664,2,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-03-01 12:00:00+00:00,4.952308654785156,34.0623664855957,3,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-03-04 12:00:00+00:00,5.152865409851074,31.20543098449707,3,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-03-07 12:00:00+00:00,5.387866497039795,30.8474063873291,3,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-03-10 12:00:00+00:00,5.73459005355835,29.992055892944336,3,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-03-13 12:00:00+00:00,4.247556209564209,29.033536911010742,3,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-03-16 12:00:00+00:00,4.893385410308838,27.125507354736328,3,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-03-19 12:00:00+00:00,3.7099926471710205,25.370702743530273,3,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-03-22 12:00:00+00:00,3.3325092792510986,22.652557373046875,3,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-03-25 12:00:00+00:00,3.1172397136688232,20.46229362487793,3,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-03-28 12:00:00+00:00,2.9777824878692627,18.833316802978516,3,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-03-31 12:00:00+00:00,3.325596332550049,18.1175479888916,3,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-04-03 12:00:00+00:00,2.882807493209839,17.58441734313965,4,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-04-06 12:00:00+00:00,2.8062145709991455,16.719932556152344,4,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-04-09 12:00:00+00:00,2.7582921981811523,16.13594627380371,4,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-04-12 12:00:00+00:00,3.0115723609924316,15.780593872070312,4,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-04-15 12:00:00+00:00,3.5215063095092773,16.1085147857666,4,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-04-18 12:00:00+00:00,16.183568954467773,26.248796463012695,4,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-04-21 12:00:00+00:00,6.722535610198975,44.816261291503906,4,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
